Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue"
"newsletter no.1","newsletter no.1","the root","Aug 12, 2019 06:58 am",Monday,212,210,1,1,2,0,0,113,53.81%,280,9,4.29%,17,3,0,0,0,52dc3b9652,0,0,0
" (copy 01)","newsletter no.1","the root","Aug 12, 2019 09:46 am",Monday,1,1,0,0,0,0,0,1,100.00%,2,0,0.00%,0,0,0,0,0,cd248d0904,0,0,0
"newsletter 2","get. that. money. (newsletter no. 2)","the root","Aug 19, 2019 07:02 am",Monday,233,232,1,0,1,0,0,129,55.60%,235,0,0.00%,0,0,0,0,0,9678b64e0a,0,0,0
"newsletter 2 (copy 01)","get. that. money. (newsletter no. 2)","the root","Aug 19, 2019 04:50 pm",Monday,4,4,0,0,0,0,0,3,75.00%,7,0,0.00%,0,0,0,0,0,947745607a,0,0,0
"newsletter 3","all. i. see. is. $$$$ (newsletter no. 3)","the root","Aug 26, 2019 07:00 am",Monday,254,253,1,0,1,0,0,140,55.34%,251,0,0.00%,0,3,0,0,0,2ce6a43658,0,0,0
"[Re-sent] newsletter 3","all. i. see. is. $$$$ (newsletter no. 3)","the root","Aug 27, 2019 02:43 pm",Tuesday,125,124,1,0,1,0,0,35,28.23%,53,0,0.00%,0,0,0,0,0,f4590c31ee,0,0,0
"newsletter 4","turns out i'm 100% that rich.","the root","Sep 02, 2019 09:37 am",Monday,268,266,2,0,2,0,0,120,45.11%,227,5,1.88%,8,2,0,0,0,8948eb5765,0,0,0
"[Re-sent] newsletter 4","turns out i'm 100% that rich.","the root","Sep 04, 2019 10:57 am",Wednesday,159,158,0,1,1,0,0,24,15.19%,35,0,0.00%,0,0,0,0,0,9ef2489177,0,0,0
"newsletter 5","if you're reading this...","the root","Sep 09, 2019 03:05 am",Monday,278,278,0,0,0,0,0,121,43.53%,214,2,0.72%,3,1,0,0,0,eaf380c10e,0,0,0
"Newsletter 6","hey... we need to talk","the root","Sep 16, 2019 07:49 am",Monday,283,282,1,0,1,0,0,106,37.59%,240,3,1.06%,6,1,0,0,0,15129cdaa5,0,0,0
